facility_name,facility_lat,facility_lon,business_status,bus_stop_name,bus_stop_lat,bus_stop_lon,distance_meters,distance_feet,nearby,name,address,latitude,longitude,place_id,business_status_facility,matched_keyword,business_type,category,phone,business_hours
El Rio Health Cherrybell,32.2060883,-110.948796,OPERATIONAL,Cherrybell/22nd St,32.205836,-110.947935,161,528.22,TRUE,El Rio Health Cherrybell,"1230 S Cherrybell Stra, Tucson, AZ 85713, USA",32.2060883,-110.948796,ChIJgT7TocJx1oYROwRLbX0RoCg,OPERATIONAL,clínica,"['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-670-3909,"Monday: 7:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 8:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: Closed
Sunday: Closed"
Northwest Primary Care at Gateway,32.3220462,-111.0114845,OPERATIONAL,La Cholla/Hospital Dr.,32.319657,-111.01211,300,984.25,TRUE,Northwest Primary Care at Gateway,"6320 N La Cholla Blvd #370, Tucson, AZ 85741, USA",32.3220462,-111.0114845,ChIJnRx9i_fi-hQRRwLmx9CFUqU,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-797-5603,"Monday: 8:30 AM – 5:00 PM
Tuesday: Closed
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 5:00 PM
Friday: Closed
Saturday: Closed
Sunday: Closed"
Milagros Family Healthcare (Lisnet Jorge FNP),32.1535734,-110.9781166,OPERATIONAL,12th Av/Canada Dr,32.151572,-110.977693,269,882.55,TRUE,Milagros Family Healthcare (Lisnet Jorge FNP),"5422 S 12th Ave Suite B, Tucson, AZ 85706, USA",32.1535734,-110.9781166,ChIJAziExPp71oYRRP-H-RicqlA,OPERATIONAL,primary care,"['hospital', 'doctor', 'store', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-900-3667,"Monday: Closed
Tuesday: 9:00 AM – 3:30 PM
Wednesday: 9:00 AM – 4:00 PM
Thursday: 9:00 AM – 4:00 PM
Friday: Closed
Saturday: Closed
Sunday: Closed"
Banner - University Medicine Primary Care Clinic,32.1009205,-110.7736415,OPERATIONAL,SS/Rita Rd/Houghton,32.102762,-110.773805,292,958.01,TRUE,Banner - University Medicine Primary Care Clinic,"8290 S Houghton Rd Suite 150, Tucson, AZ 85747, USA",32.1009205,-110.7736415,ChIJxXucBf9h1oYRAzsepgEO9_0,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-694-1045,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Banner - University Medicine Primary Care Clinic,32.1009205,-110.7736415,OPERATIONAL,SS/Rita Rd/Houghton,32.102762,-110.773805,292,958.01,TRUE,Banner - University Medicine Primary Care Clinic,"2945 W Ina Rd # 121, Tucson, AZ 85741, USA",32.3365719,-111.0303829,ChIJ63DAqg111oYRKWQtGp675Gk,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-694-7601,"Monday: 7:30 AM – 5:00 PM
Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Banner - University Medicine Primary Care Clinic,32.1009205,-110.7736415,OPERATIONAL,SS/Rita Rd/Houghton,32.102762,-110.773805,292,958.01,TRUE,Banner - University Medicine Primary Care Clinic,"6860 E Sunrise Dr #100, Tucson, AZ 85750, USA",32.3083456,-110.8458855,ChIJuzedsvdt1oYR79RdnqCeJk8,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-694-1042,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Sunrise Family Medicine PLLC,32.2356624,-110.9377548,OPERATIONAL,Speedway/Plumer,32.235941,-110.939368,173,567.59,TRUE,Sunrise Family Medicine PLLC,"2302 E Speedway Blvd #208, Tucson, AZ 85719, USA",32.2356624,-110.9377548,ChIJI15gnCNx1oYRPOOFB6R7B0E,OPERATIONAL,primary care,"['health', 'point_of_interest', 'establishment']",primary_care,+1 520-222-6257,"Monday: 12:00 – 4:00 PM
Tuesday: 8:00 AM – 12:00 PM
Wednesday: 12:00 – 4:00 PM
Thursday: 8:00 AM – 12:00 PM
Friday: 9:00 AM – 1:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 3:00 PM"
Banner - University Medicine Family Medicine Clinic,32.2309783,-110.9100838,OPERATIONAL,Alvernon/3rd St,32.231549,-110.909519,139,456.04,TRUE,Banner - University Medicine Family Medicine Clinic,"707 N Alvernon Way Unit 101, Tucson, AZ 85711, USA",32.2309783,-110.9100838,ChIJE-jBiSxw1oYRgDhSn2_izN4,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-694-8888,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Tucson Family Medicine,32.3358284,-111.0137817,OPERATIONAL,La Cholla/Ina,32.336618,-111.01288,155,508.53,TRUE,Tucson Family Medicine,"7105 N La Cholla Blvd, Tucson, AZ 85741, USA",32.3358284,-111.0137817,ChIJH94fN5h01oYRdK0ez2eIboM,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-547-0611,"Monday: 7:00 AM – 4:00 PM
Tuesday: 7:00 AM – 4:00 PM
Wednesday: 7:00 AM – 4:00 PM
Thursday: 7:00 AM – 4:00 PM
Friday: 7:00 AM – 4:00 PM
Saturday: Closed
Sunday: Closed"
Wilmot Primary Care Group PLC,32.2296401,-110.858387,OPERATIONAL,Wilmot/5th St,32.22849,-110.858132,128,419.95,TRUE,Wilmot Primary Care Group PLC,"603 N Wilmot Rd #201, Tucson, AZ 85712, USA",32.2296401,-110.858387,ChIJLaQUTaZv1oYRf1esANqt7XE,OPERATIONAL,primary care,"['doctor', 'health', 'point_of_interest', 'establishment']",primary_care,+1 520-790-1556,"Monday: 7:00 AM – 4:00 PM
Tuesday: 7:00 AM – 4:00 PM
Wednesday: 7:00 AM – 4:00 PM
Thursday: 7:00 AM – 4:00 PM
Friday: 7:00 AM – 4:00 PM
Saturday: Closed
Sunday: Closed"
